method,idx,kp,lam,gamma,reg,power,clip,mean_pos,final_pos,drift,solver,score,ok
method1,145,80.0,0.01,10.0,0.01,1.0,1.0,0.006145994937095456,0.009812131275307301,0.06127537706327601,0.8536143983191641,0.0077983096775205585,True
method1,146,80.0,0.01,10.0,0.01,1.0,2.0,0.006145994937095456,0.009812131275307301,0.06127537706327601,0.8536143983191641,0.0077983096775205585,True
method1,147,80.0,0.01,10.0,0.1,1.0,1.0,0.01557021827090622,0.016236361070091816,0.08635439487417784,1.323215762869172,0.017958914049824363,True
method1,148,80.0,0.01,10.0,0.1,1.0,2.0,0.013806795866148374,0.004178630936779689,0.023181937105616397,0.46340297198568076,0.014502136094253543,True
method1,149,80.0,0.01,10.0,1.0,1.0,1.0,0.030810612009118842,0.04000148198372298,0.22153240599530832,3.2523008721184063,0.03686741056508421,True
method1,150,80.0,0.01,10.0,1.0,1.0,2.0,0.02299789550635281,0.01682276841785786,0.10082291059120078,1.5691553664847073,0.02579893140141918,True
method1,151,80.0,0.05,0.5,0.01,1.0,1.0,0.009932182412250395,0.013626308852830948,0.09723733550850555,1.2571888805775293,0.01250552356270927,True
method1,152,80.0,0.05,0.5,0.01,1.0,2.0,0.009710506946186182,0.01104229432381112,0.08721502246838524,1.103778470890451,0.012006696630999113,True
method1,153,80.0,0.05,0.5,0.1,1.0,1.0,0.022937110865284934,0.027690874745144846,0.18086168928400143,2.3276377439268114,0.027718163522928368,True
method1,154,80.0,0.05,0.5,0.1,1.0,2.0,0.02151157773102568,0.025348178148531263,0.17468260308598768,2.213147006141959,0.026111803295816416,True
method1,155,80.0,0.05,0.5,1.0,1.0,1.0,0.05666310419035975,0.044583762170276924,0.1793282048827229,3.4307979194062383,0.06196506724771733,False
method1,156,80.0,0.05,0.5,1.0,1.0,2.0,0.05252307279200176,0.057763061312314526,0.3206623417462661,4.497642083920782,0.06118514066888747,False
method1,157,80.0,0.05,1.0,0.01,1.0,1.0,0.009592637645832285,0.009175123252287226,0.07378692107824843,0.8602481913590898,0.011498500163076797,True
method1,158,80.0,0.05,1.0,0.01,1.0,2.0,0.00927717657353451,0.006288189113614144,0.06482209321747096,0.7183148052176891,0.010932775840492773,True
method1,159,80.0,0.05,1.0,0.1,1.0,1.0,0.022156213076065513,0.031234876473432475,0.19985805577465374,2.5812655823548973,0.02744400698273604,True
method1,160,80.0,0.05,1.0,0.1,1.0,2.0,0.01995325813348671,0.021144780387097925,0.1586939059908622,1.9585954657992029,0.024106433986203556,True
method1,161,80.0,0.05,1.0,1.0,1.0,1.0,0.05364262088316339,0.04626426721586062,0.22308327629124458,3.5530425191499466,0.05988080766856326,False
method1,162,80.0,0.05,1.0,1.0,1.0,2.0,0.04435718058509477,0.05575169874762388,0.3382304449049287,4.417804515155476,0.053330691740771076,True
method1,163,80.0,0.05,2.0,0.01,1.0,1.0,0.008787462445762175,0.0028121985432558345,0.04668375437892624,0.42429798794173007,0.009933286527311564,True
method1,164,80.0,0.05,2.0,0.01,1.0,2.0,0.008529435549720766,0.002662219476280747,0.04730589631791362,0.4573133673611984,0.009704210159759637,True
method1,165,80.0,0.05,2.0,0.1,1.0,1.0,0.020618514414182013,0.03084545364596062,0.1892037807733337,2.550598319490883,0.02567788918939413,True
method1,166,80.0,0.05,2.0,0.1,1.0,2.0,0.018189283632986396,0.014811429245133347,0.1173398200633043,1.496073590933774,0.02128411682971937,True
method1,167,80.0,0.05,2.0,1.0,1.0,1.0,0.047300591285170876,0.04888968960773531,0.274874793301628,3.811322352382128,0.054703748327394504,True
method1,168,80.0,0.05,2.0,1.0,1.0,2.0,0.035128019533184535,0.038435749503250266,0.2532719894985531,3.1771917325872265,0.04178205518944921,True
method1,169,80.0,0.05,5.0,0.01,1.0,1.0,0.007326828158591478,0.007674910812805182,0.05472987210301322,0.7039850447158637,0.008773418123009675,True
method1,170,80.0,0.05,5.0,0.01,1.0,2.0,0.007295296265491061,0.007806804237176176,0.05529664161218677,0.712677356561775,0.008757567776015683,True
method1,171,80.0,0.05,5.0,0.1,1.0,1.0,0.01788577104219498,0.025409848871784352,0.14157391343362105,2.1069469429451386,0.02177072278233997,True
method1,172,80.0,0.05,5.0,0.1,1.0,2.0,0.015750411300231536,0.009283701770812,0.059006649367879756,0.9386887604491727,0.01739988866781372,True
method1,173,80.0,0.05,5.0,1.0,1.0,1.0,0.036745669874616686,0.04283083063331645,0.24833072115555851,3.435867054661738,0.04343021782505873,True
method1,174,80.0,0.05,5.0,1.0,1.0,2.0,0.026564987099090456,0.02021012479484717,0.14426942465000767,1.893729383111944,0.03039724028364658,True
method1,175,80.0,0.05,10.0,0.01,1.0,1.0,0.006137145149374582,0.009732707706748004,0.060212381775317396,0.8507455054431756,0.007766765537602517,True
method1,176,80.0,0.05,10.0,0.01,1.0,2.0,0.006137145149374582,0.009732707706748004,0.060212381775317396,0.8507455054431756,0.007766765537602517,True
method1,177,80.0,0.05,10.0,0.1,1.0,1.0,0.015518629338953706,0.016147406999093814,0.0856516144433552,1.3177564213653363,0.01789053983850348,True
method1,178,80.0,0.05,10.0,0.1,1.0,2.0,0.013790408178156395,0.004301591116257283,0.023242022935269724,0.46896287995047015,0.014489730076837024,True
method1,179,80.0,0.05,10.0,1.0,1.0,1.0,0.030682969052879674,0.039285487625078074,0.2172063214516395,3.1948847862996645,0.03662453787506229,True
method1,180,80.0,0.05,10.0,1.0,1.0,2.0,0.022954393041096175,0.01663974458471269,0.09877797284298678,1.5537920015271944,0.025706848498719508,True
method1,181,80.0,0.1,0.5,0.01,1.0,1.0,0.009892782966785554,0.013567323259087952,0.0948927140034054,1.2487102103229264,0.012414992352015125,True
method1,182,80.0,0.1,0.5,0.01,1.0,2.0,0.009681445193102062,0.01109303796047795,0.08502772584808306,1.101092736928237,0.011932546078527843,True
method1,183,80.0,0.1,0.5,0.1,1.0,1.0,0.02287068344189128,0.027274651244930427,0.17699214093377932,2.292833020475619,0.027556942770804678,True
method1,184,80.0,0.1,0.5,0.1,1.0,2.0,0.02148691140993557,0.025115266427027418,0.17141640613275658,2.190665348113083,0.02601057220664724,True
method1,185,80.0,0.1,0.5,1.0,1.0,1.0,0.05645687622299061,0.04426212181591478,0.1770770302446217,3.4040753237679087,0.06170045448976699,False
method1,186,80.0,0.1,0.5,1.0,1.0,2.0,0.05236327121302214,0.05731626278526979,0.3166952664700715,4.459455873574865,0.060926904479211,False
method1,187,80.0,0.1,1.0,0.01,1.0,1.0,0.009559125477985599,0.009188458366665972,0.07159649413721636,0.8586153594765503,0.011420363040468201,True
method1,188,80.0,0.1,1.0,0.01,1.0,2.0,0.009256056820620478,0.006394426172802727,0.0624993757986035,0.7196338702591899,0.010865861271722142,True
method1,189,80.0,0.1,1.0,0.1,1.0,1.0,0.02208158683294045,0.030764459530204857,0.1956519283400054,2.5428815471404507,0.02726606617331078,True
method1,190,80.0,0.1,1.0,0.1,1.0,2.0,0.019917207003380434,0.02099628334675217,0.1550685019253136,1.942394880070886,0.02398977448192215,True
method1,191,80.0,0.1,1.0,1.0,1.0,1.0,0.05342309489189758,0.04593350372711409,0.22018170515440685,3.523887155170906,0.05958867257257117,False
method1,192,80.0,0.1,1.0,1.0,1.0,2.0,0.04419798355198612,0.05515549144586207,0.332948384880775,4.3673747575196815,0.05304063862836146,True
method1,193,80.0,0.1,2.0,0.01,1.0,1.0,0.00876656824926643,0.002876616348180116,0.04422406043728203,0.42475010408834407,0.009863424510056241,True
method1,194,80.0,0.1,2.0,0.01,1.0,2.0,0.008515629290636059,0.002624541215532129,0.04462454382913783,0.45260971840568603,0.009634425026421659,True
method1,195,80.0,0.1,2.0,0.1,1.0,1.0,0.020539057630530363,0.0303681301960152,0.1852005464799697,2.512442873240463,0.02549928999674999,True
method1,196,80.0,0.1,2.0,0.1,1.0,2.0,0.01815640048505964,0.014780133389197534,0.11423631035822451,1.4900465110139367,0.0211861499477311,True
method1,197,80.0,0.1,2.0,1.0,1.0,1.0,0.0470677327502545,0.048307131645532436,0.27025785620813925,3.7630879872568466,0.054354433868045705,True
method1,198,80.0,0.1,2.0,1.0,1.0,2.0,0.03498869210017833,0.037888718527498734,0.2473414672504438,3.131809754128343,0.04150142632225138,True
