case_id,task_gain,mu_gain,activation_power,solver_substeps,solver_gamma_gain,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,mean_inner_residual_norm,wall_clock_run_s,result_dir,composite_score
tg120_mu10p0_ap0p90_ns60_gg2560,120.0,10.0,0.9,60,2560.0,ok,0.0001978085070733997,1.5319997852508116e-06,4.2609906096813724e-06,0.004038208120166932,6.1590427000010095,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns60_gg2560\offline,1.6003628203926865
tg200_mu10p0_ap0p90_ns40_gg2560,200.0,10.0,0.9,40,2560.0,ok,0.0001993282611437253,1.099617548402616e-06,4.152156460310784e-06,0.006300397503272259,4.551532900000893,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns40_gg2560\offline,1.6026509274810086
tg160_mu10p0_ap0p90_ns40_gg3840,160.0,10.0,0.9,40,3840.0,ok,0.00019927682769629008,1.216729880237301e-06,4.308302924358613e-06,0.00564043870319235,4.641642000002321,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns40_gg3840\offline,1.6229528231051658
tg120_mu14p0_ap0p90_ns60_gg1280,120.0,14.0,0.9,60,1280.0,ok,0.00019227444922365904,1.6554386375907866e-06,3.640086463105454e-06,0.0071563556577248395,6.111801999999443,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns60_gg1280\offline,1.6467006199258283
tg160_mu10p0_ap0p90_ns40_gg2560,160.0,10.0,0.9,40,2560.0,ok,0.00019770719257149216,1.2686151361554438e-06,4.3165589059801575e-06,0.006067981915650797,4.5863333999986935,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns40_gg2560\offline,1.6511739825143457
tg200_mu10p0_ap0p90_ns40_gg1280,200.0,10.0,0.9,40,1280.0,ok,0.000196271606776519,1.209803642231729e-06,4.101181619149058e-06,0.0075968107740143325,4.574121900001046,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns40_gg1280\offline,1.6686896826213597
tg120_mu10p0_ap0p90_ns60_gg1280,120.0,10.0,0.9,60,1280.0,ok,0.0001947170571405102,1.724714685736686e-06,4.3219253913855156e-06,0.004972098581677249,6.108581599997706,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns60_gg1280\offline,1.6857210854033555
tg120_mu10p0_ap0p90_ns40_gg3840,120.0,10.0,0.9,40,3840.0,ok,0.00019785475878213664,1.4680973973138382e-06,4.573019324824041e-06,0.005744337580572411,4.68598589999965,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns40_gg3840\offline,1.7210243539113166
tg160_mu10p0_ap0p90_ns40_gg1280,160.0,10.0,0.9,40,1280.0,ok,0.00019526593739431868,1.4097744716815257e-06,4.2585631096567945e-06,0.007461248592361932,4.670680999999604,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg160_mu10p0_ap0p90_ns40_gg1280\offline,1.727567274243984
tg120_mu10p0_ap0p90_ns40_gg2560,120.0,10.0,0.9,40,2560.0,ok,0.0001963716617227815,1.5452454386516886e-06,4.474680960107493e-06,0.006110613579627772,4.701073899999756,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns40_gg2560\offline,1.732679552445274
tg120_mu10p0_ap0p90_ns40_gg1280,120.0,10.0,0.9,40,1280.0,ok,0.00019312824564388009,1.7275325388641746e-06,4.497213092969201e-06,0.007343178834447364,4.741808399998263,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu10p0_ap0p90_ns40_gg1280\offline,1.8225529353601375
tg120_mu14p0_ap0p90_ns40_gg1280,120.0,14.0,0.9,40,1280.0,ok,0.0001916258325453954,1.6473407228092985e-06,3.833330659076546e-06,0.010494410588698962,4.634644699999626,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg120_mu14p0_ap0p90_ns40_gg1280\offline,1.8304193489650913
tg200_mu14p0_ap0p90_ns20_gg1280,200.0,14.0,0.9,20,1280.0,ok,0.00019312751812068158,1.2174903896441609e-06,2.647914043680681e-06,0.02116555094690022,3.0770770000017365,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu14p0_ap0p90_ns20_gg1280\offline,2.0262933554903904
tg200_mu10p0_ap0p90_ns20_gg1280,200.0,10.0,0.9,20,1280.0,ok,0.0001939417049521243,1.3710912631491712e-06,4.201678506776086e-06,0.015009780676518682,3.082259000002523,C:\Users\lyx\Desktop\sci\code\project_method3c_lccznn_solver\results\tuning_20260421\method2\offline_broad_runs\tg200_mu10p0_ap0p90_ns20_gg1280\offline,2.0519040297587177
