"stage","trajectory","task_gain","drift_gain","solver_gamma","activation_power","dlccznn_inner_steps","mean_position_error_m","final_position_error_m","final_joint_drift_norm_rad","max_position_error_m","runtime_s","path"
"stage2_solver_coupling","line","300","10","2048","0.85","60","5.83271431125836E-06","1.80658237397566E-07","5.66235829916052E-07","1.43335808736374E-05","6.52477450000151","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g2048_p085_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.75","40","2.67487669197757E-05","6.83400123202572E-06","3.25529828937359E-05","9.2424805935542E-05","4.76802019999741","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p075_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.75","60","1.48123466650892E-05","3.49515284833348E-06","1.63723426591947E-05","5.07703261324902E-05","6.82470539999485","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p075_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.8","40","1.56893226884154E-05","2.78370575978646E-06","1.32833429574406E-05","7.38178570900511E-05","4.23579040000186","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p080_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.8","60","6.9156716049671E-06","7.90836570302198E-07","2.89545092650189E-06","3.01931323563555E-05","7.51046090000455","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p080_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.85","40","7.69373194253541E-06","7.44432611823947E-07","3.13961211162042E-06","2.63267766249105E-05","5.38748720000149","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p085_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","3072","0.85","60","4.85411172050283E-06","3.64223892843995E-07","1.12639202079784E-06","1.37370274903779E-05","8.13251870000386","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g3072_p085_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","4096","0.75","40","3.22016751486516E-05","9.52614552226077E-06","4.25594789389692E-05","0.000132266596560216","5.40001940000366","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g4096_p075_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","4096","0.75","60","2.29023611374782E-05","4.66013186404929E-06","2.08128969156164E-05","3.44182239913021E-05","8.56121830000484","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g4096_p075_ns60\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
"stage2_solver_coupling","line","300","10","4096","0.8","40","2.80331357695899E-05","3.89509741235739E-06","1.91723871635882E-05","5.13553275028E-05","4.12034019999555","C:\Users\lyx\Desktop\sci\code\project_tvqp_elncp_pdnn_comparison\results\coupled_param_search\stage2_solver_coupling\line_t300_d10_g4096_p080_ns40\single\line\method2_dlccznn\offline\method2_dlccznn_offline_with_fb_summary.json"
