case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg180_mu20_g2560_ns80,180.0,20.0,2560.0,80,0.8,4.0,ok,9.906711000636545e-06,1.6239392042576805e-06,1.4211616218810816e-06,0.5123522533941215,2.8324036999983946,2.56419001069146
tg180_mu16_g2048_ns100,180.0,16.0,2048.0,100,0.8,4.0,ok,1.1616656526190814e-05,1.795633062220597e-06,9.611353073023747e-07,0.5123501632242767,3.4132518000005803,2.565168096727825
tg260_mu20_g2048_ns80,260.0,20.0,2048.0,80,0.8,4.0,ok,1.0737437754935574e-05,1.194022279302384e-06,1.360890775124738e-06,0.5123475987916027,2.8659480000023905,2.5690376145903717
tg220_mu16_g2048_ns60,220.0,16.0,2048.0,60,0.8,4.0,ok,9.489379841330061e-06,1.7522654706800877e-06,1.4905601203156436e-06,0.512351800163483,2.1354408000006515,2.569230820527429
tg220_mu20_g3072_ns100,220.0,20.0,3072.0,100,0.85,4.0,ok,8.995920492192183e-06,1.4703867240681701e-06,1.7597219950128386e-06,0.5123812481926848,3.3175582000003487,2.6083316175609617
tg260_mu20_g3072_ns80,260.0,20.0,3072.0,80,0.85,4.0,ok,7.596609426609839e-06,1.2533040404234248e-06,2.1625183413646993e-06,0.5123817210096246,2.754758499999298,2.609374169782919
tg220_mu20_g2048_ns80,220.0,20.0,2048.0,80,0.8,4.0,ok,1.2689663556931602e-05,1.4174916605758382e-06,1.0189553906430815e-06,0.5123466860837221,2.815573799998674,2.684762744202071
tg180_mu16_g2048_ns80,180.0,16.0,2048.0,80,0.8,4.0,ok,1.1598644743590038e-05,1.7383955158197321e-06,1.2038040540604855e-06,0.512349984112607,2.7886006999979145,2.69733947903659
tg220_mu20_g3072_ns80,220.0,20.0,3072.0,80,0.85,4.0,ok,8.977728727064856e-06,1.4769764402613373e-06,1.9304852584434727e-06,0.5123812841243781,2.732987499999581,2.7090630807861276
tg180_mu12_g2560_ns80,180.0,12.0,2560.0,80,0.8,4.0,ok,5.1402275615516775e-06,2.0454059377090057e-06,2.6778194334647065e-06,0.512357955276763,3.339678100001038,2.7096233307215014
tg260_mu20_g2048_ns60,260.0,20.0,2048.0,60,0.8,4.0,ok,1.0721099939175204e-05,1.604587888238109e-06,1.495877971968372e-06,0.5123484542762143,2.2744655999995302,2.7220250974462177
tg180_mu12_g2048_ns80,180.0,12.0,2048.0,80,0.8,4.0,ok,7.988124156165594e-06,1.7391380118746002e-06,2.122108974240045e-06,0.5123548871016835,2.8844202000000223,2.7295480583885405
tg260_mu12_g2048_ns60,260.0,12.0,2048.0,60,0.8,4.0,ok,5.543296172489982e-06,1.4862250124130668e-06,2.8145712268447215e-06,0.5123547571056427,2.150438499997108,2.747573538911204
