idx,sub,gamma,solver_lambda,ncp,mean,final,drift,res,min_slack,ok,score
92,120.0,20.0,0.01,1e-06,0.00729673917016989,0.005060284495076598,0.02805930895510415,1.8845698508233937,0.1843643418785712,True,0.009742495200095368
93,120.0,20.0,0.01,0.0001,0.007296122597990946,0.005059519683143159,0.02805508345880536,1.8845842972202826,0.18429214391939208,True,0.009741808564387337
94,120.0,20.0,0.1,1e-08,0.007872651997028225,0.006269538178204414,0.03485630079808031,2.0164799752630898,0.20932566255569185,True,0.010586257988252922
95,120.0,20.0,0.1,1e-06,0.007872649227910328,0.006269535725328388,0.034856287103941105,2.0164793236640888,0.2093252427012673,True,0.010586254293653239
96,120.0,20.0,0.1,0.0001,0.007872420914620697,0.006269290448081393,0.03485491774883273,2.0163558227142264,0.20928350603033752,True,0.010585875092311577
97,120.0,20.0,1.0,1e-08,0.009538176426887857,0.008562135967129262,0.047647120827628994,2.3994162644389005,0.19567036807692384,True,0.012890535107879339
98,120.0,20.0,1.0,1e-06,0.009538175554313378,0.008562135402272344,0.04764711768994531,2.399416058516884,0.19567037585910474,True,0.012890533966629168
99,120.0,20.0,1.0,0.0001,0.009538088312614346,0.00856208035849445,0.047646811988661185,2.399392882769128,0.1956714221019209,True,0.012890417435156698
100,120.0,20.0,10.0,1e-08,0.01585585489391234,0.0148383206535731,0.08267294454644745,3.8314321328835814,0.5355083124613271,True,0.02134074591772487
101,120.0,20.0,10.0,1e-06,0.01585585427861767,0.014838319775460613,0.08267293964076058,3.8314319851688854,0.5355083123886633,True,0.021340745056601766
102,120.0,20.0,10.0,0.0001,0.015855792652662057,0.014838231979323269,0.0826724491566244,3.831417202681118,0.5355083082171213,True,0.021340658838475662
103,120.0,20.0,100.0,1e-08,0.027057557447535005,0.020449553653133296,0.1064766077534156,6.425380430417886,0.6563819024451483,True,0.035612470033021204
104,120.0,20.0,100.0,1e-06,0.02705755713024825,0.020449553090082513,0.10647660409377105,6.425380355905097,0.6563818963682697,True,0.035612469568028764
105,120.0,20.0,100.0,0.0001,0.02705753100851136,0.020449323543159575,0.10647522983855334,6.425560281227551,0.6563812618286478,True,0.03561259588650998
106,120.0,50.0,0.01,1e-08,0.005792620376487051,0.0033159550166009517,0.018310897328342356,1.5250733170700093,0.3549207450069669,True,0.007683911640123907
107,120.0,50.0,0.01,1e-06,0.005792614022467921,0.003315946828043102,0.018310851737692382,1.525071796840636,0.35492088967482505,True,0.007683902854062405
108,120.0,50.0,0.01,0.0001,0.0057921000585918845,0.003316311102164515,0.018311972666058936,1.5250958123201905,0.3549354862602976,True,0.007683435324233254
109,120.0,50.0,0.1,1e-08,0.006578985622511535,0.00489225262824273,0.027164091775975365,1.7090558568932976,0.3357671829839963,True,0.00883132331492434
110,120.0,50.0,0.1,1e-06,0.006578982673888154,0.004892250378348098,0.027164079200098334,1.7090551496730668,0.3357671739083403,True,0.008831319407563189
111,120.0,50.0,0.1,0.0001,0.006578689769496082,0.00489202540379873,0.027162821697730013,1.708985308878954,0.335766354710487,True,0.008830931512329636
112,120.0,50.0,1.0,1e-08,0.008393678829251718,0.00735633763201883,0.0409304614333303,2.132993626938094,0.2549217833821722,True,0.011345281684856417
113,120.0,50.0,1.0,1e-06,0.008393678191520268,0.007356337167591381,0.040930458845233095,2.1329934737041913,0.254921817575239,True,0.011345280842129123
114,120.0,50.0,1.0,0.0001,0.008393614435526798,0.007356290725238753,0.040930200038395884,2.1329781604672142,0.2549253672266494,True,0.01134519659676193
115,120.0,50.0,10.0,1e-08,0.01217381980392795,0.009942339711978027,0.055350520118782824,2.9999913722598905,0.4154139830069279,True,0.016280821578563497
116,120.0,50.0,10.0,1e-06,0.01217381949186634,0.009942339595566728,0.05535051946301556,2.9999912955987735,0.41541392567114865,True,0.016280821176725427
117,120.0,50.0,10.0,0.0001,0.01217378867334929,0.009942330681089491,0.05535046934968968,2.999983598112238,0.4154082161407897,True,0.01628078165845532
118,120.0,50.0,100.0,1e-08,0.02221372167493163,0.022644869810000308,0.12633502911555938,5.285054390881896,0.5767912429811792,True,0.030025476648124716
119,120.0,50.0,100.0,1e-06,0.022213721302933854,0.022644868952883694,0.12633502436688115,5.285054301565363,0.5767912408518179,True,0.030025476091836843
120,120.0,50.0,100.0,0.0001,0.022213691013777646,0.02264478138837324,0.12633453904006064,5.2849756293207095,0.5767905640343831,True,0.03002535742389957
121,120.0,100.0,0.01,1e-08,0.004619900498514398,0.0021376165072766623,0.011746716323378028,1.2349994626748229,0.5319012271620502,True,0.006089834287656781
122,120.0,100.0,0.01,1e-06,0.004619893123948475,0.0021376098053610864,0.011746678564237199,1.2349976222852184,0.5319012637262106,True,0.0060898243175184375
123,120.0,100.0,0.01,0.0001,0.004619219842111674,0.002136920323759348,0.011742825640434933,1.234876322877232,0.5319024702452368,True,0.006088952677797604
124,120.0,100.0,0.1,1e-08,0.005599439960480648,0.003902714160680544,0.021640991558393385,1.4722173184641134,0.46389260397988763,True,0.007504477110112629
125,120.0,100.0,0.1,1e-06,0.0055994370167553,0.003902712256867423,0.021640980892401795,1.4722165972535664,0.46389297929011786,True,0.007504473231856902
126,120.0,100.0,0.1,0.0001,0.005599040406821845,0.0039025218937531587,0.021639914397627198,1.4721226058882626,0.46393054410296064,True,0.007503961300662651
127,120.0,100.0,1.0,1e-08,0.00756684828143775,0.006448300157189625,0.03586678929284705,1.9383431417213763,0.31382753965649446,True,0.010222527209016067
128,120.0,100.0,1.0,1e-06,0.007566847672760737,0.006448299746434644,0.035866786991891206,1.9383429945093844,0.3138275776759001,True,0.010222526407107944
129,120.0,100.0,1.0,0.0001,0.007566786759514788,0.006448258671628485,0.03586655690115649,1.9383282770998773,0.31383145176822236,True,0.010222446174637795
130,120.0,100.0,10.0,1e-08,0.010315899241936256,0.009145943147488072,0.050878978983780694,2.576816193865276,0.2557080229763482,True,0.013910295015477145
131,120.0,100.0,10.0,1e-06,0.010315899079856871,0.0091459429363883,0.050878977806434265,2.5768161528489917,0.25570801525023645,True,0.013910294788834548
132,120.0,100.0,10.0,0.0001,0.010315885169269543,0.009145921965160113,0.05087886087060855,2.5768146289214418,0.2557073688970892,True,0.013910277015603155
133,120.0,100.0,100.0,1e-08,0.018776628167154863,0.02101536070682879,0.11705196805808513,4.498036282100318,0.5489625211521652,True,0.025615703810416883
134,120.0,100.0,100.0,1e-06,0.01877662794013575,0.021015361173728927,0.11705197049258947,4.498036221445232,0.5489625213466205,True,0.025615703571432773
135,120.0,100.0,100.0,0.0001,0.018776619035253836,0.021015407861547618,0.11705221393275703,4.497928375770533,0.5489629063373622,True,0.025615591689679508
136,120.0,200.0,0.01,1e-08,0.00352155776455351,0.0012785001458808943,0.006968673550365109,0.9446222033305165,0.5914779917889255,True,0.004605553438891329
137,120.0,200.0,0.01,1e-06,0.0035215500895646778,0.0012784955669887708,0.00696864745500619,0.9446201089343755,0.5914780403633206,True,0.004605543147599177
138,120.0,200.0,0.01,0.0001,0.003520790403804502,0.0012780476551722028,0.006966065794071396,0.9444124232079999,0.5914846979422292,True,0.00460452414289393
139,120.0,200.0,0.1,1e-08,0.004664688588053763,0.00300724135823153,0.016643385623651034,1.2400252855003777,0.5939675444536328,True,0.0062375815860271615
140,120.0,200.0,0.1,1e-06,0.004664685858484612,0.003007239912490477,0.016643377479171054,1.240024593416742,0.593967567235927,True,0.0062375780014847755
141,120.0,200.0,0.1,0.0001,0.004664412923512457,0.0030070953621470185,0.016642563166879294,1.2399553936695007,0.5939698496306702,True,0.0062372195805195435
142,120.0,200.0,1.0,1e-08,0.006735143743115754,0.005546921426428395,0.03083582897620388,1.741202481386944,0.3854022183312549,True,0.009093062804026775
143,120.0,200.0,1.0,1e-06,0.0067351431791827275,0.00554692108562799,0.030835827048090864,1.7412023437487134,0.385402253890478,True,0.009093062063893258
144,120.0,200.0,1.0,0.0001,0.006735086719944108,0.005546902042962212,0.030835717631518805,1.7411884266951732,0.3854058546624417,True,0.009092989499269658
145,120.0,200.0,10.0,1e-08,0.009217241477162859,0.008366550705020688,0.046556767282667,2.3228438269152942,0.23334040028137903,True,0.012471220649731494
146,120.0,200.0,10.0,1e-06,0.00921724137849148,0.008366550558600045,0.0465567664749504,2.3228438018016595,0.233340411830816,True,0.012471220509792148
147,120.0,200.0,10.0,0.0001,0.009217231568819926,0.008366535919019568,0.04655668571754466,2.322843805548716,0.23334173544766923,True,0.012471209088719536
148,120.0,200.0,100.0,1e-08,0.01553228931695375,0.014334696740019841,0.07985969427646304,3.757821311625471,0.5363948533120153,True,0.02088730451410848
149,120.0,200.0,100.0,1e-06,0.015532289212150153,0.014334696667874963,0.07985969387345568,3.757821280535178,0.5363948459355652,True,0.020887304370154444
150,120.0,200.0,100.0,0.0001,0.01553227853952933,0.014334689478244492,0.07985965371146389,3.75781815137352,0.5363941112802879,True,0.020887289765132128
151,120.0,500.0,0.01,1e-08,0.0024705877686882305,0.0006967680901701726,0.003687055223334286,0.6158052766278097,0.5976418974600648,True,0.003160134149782726
152,120.0,500.0,0.01,1e-06,0.0024705824700221955,0.0006967668221468879,0.0036870477232610003,0.6158034397924353,0.5976419358177152,True,0.003160126864279851
153,120.0,500.0,0.01,0.0001,0.002470110252594252,0.0006966067112247582,0.0036861099426893098,0.6155735486976214,0.5976465207903705,True,0.00315940600014566
154,120.0,500.0,0.1,1e-08,0.0035919333996802328,0.002012343054939598,0.011092468905415586,0.957604944727217,0.5957061162985677,True,0.004771387722515762
155,120.0,500.0,0.1,1e-06,0.003591931306890742,0.002012342081769726,0.0110924633567906,0.9576043680264021,0.5957061457513826,True,0.004771384942052956
156,120.0,500.0,0.1,0.0001,0.0035917559305076,0.002012244748916221,0.011091908410373857,0.9575990816942204,0.5957090917780272,True,0.004771193180409298
157,120.0,500.0,1.0,1e-08,0.005651773200761953,0.004382052134737037,0.02433200700413468,1.480403900573773,0.5011620329126694,True,0.00761881724141842
158,120.0,500.0,1.0,1e-06,0.0056517727175966126,0.004382051896703796,0.024332005623500224,1.4804037800754026,0.5011620617001686,True,0.00761881661014202
159,120.0,500.0,1.0,0.0001,0.005651724215654466,0.004382028092593302,0.024331867557536985,1.4803928126305255,0.5011649622082335,True,0.007618754379435731
160,120.0,500.0,10.0,1e-08,0.008164539087233382,0.007228252158821462,0.040217144062604696,2.077695453437502,0.294099687802283,True,0.011046577421922978
161,120.0,500.0,10.0,1e-06,0.008164539001471354,0.007228252055689118,0.04021714348569849,2.0776954318442282,0.29409966486626926,True,0.011046577303029553
162,120.0,500.0,10.0,0.0001,0.00816453106173072,0.007228241740160169,0.0402170857829852,2.077693713785022,0.2940973452267859,True,0.011046566491175447
163,120.0,500.0,100.0,1e-08,0.012039113866877471,0.009878889842932458,0.054990927606419715,2.9694812177177563,0.40733261708272916,True,0.01610841363672362
164,120.0,500.0,100.0,1e-06,0.012039113848735626,0.009878889747148558,0.05499092706346122,2.9694812082884345,0.40733258826298724,True,0.016108413598293285
165,120.0,500.0,100.0,0.0001,0.012039112440919254,0.009878870790448165,0.054990819206210885,2.9694803526038296,0.40732973816016904,True,0.016108409177647304
166,120.0,1000.0,0.01,1e-08,0.0020697875231436742,0.0004751160504171212,0.002408845190106587,0.43802747294732447,0.6013929122966752,True,0.0025559918998931306
167,120.0,1000.0,0.01,1e-06,0.002069784802730914,0.0004751154185191675,0.0024088412911583753,0.43802603788277517,0.6013929254856547,True,0.002555987666436857
168,120.0,1000.0,0.01,0.0001,0.0020695969470178447,0.00047505225212017923,0.00240845158710891,0.43787919085689664,0.6013942192626329,True,0.0025556451696169195
169,120.0,1000.0,0.1,1e-08,0.002960207693197402,0.0014204711322476115,0.007781363307051979,0.7728105780759992,0.5971778482739825,True,0.0038886455374144407
170,120.0,1000.0,0.1,1e-06,0.0029602062208891338,0.0014204706698824924,0.007781360569513362,0.7728101235064784,0.5971778644460743,True,0.003888643555785879
171,120.0,1000.0,0.1,0.0001,0.002960059293268003,0.001420424447583241,0.007781086900329845,0.772764748393244,0.5971788849725119,True,0.0038884457796678437
172,120.0,1000.0,1.0,1e-08,0.004867873196052955,0.0035535243613170767,0.01970340898994051,1.2871448876352645,0.5985053248296515,True,0.00654908626348703
173,120.0,1000.0,1.0,1e-06,0.0048678727937689625,0.0035535242130022167,0.01970340808177085,1.2871447841838142,0.5985053363808315,True,0.006549085739588194
174,120.0,1000.0,1.0,0.0001,0.004867831968477953,0.003553483030242315,0.019703171945759455,1.2871339062713179,0.5985065042584199,True,0.0065490293136644595
